ID,AverageMass,AreaInSquaredPixels,Roundness
503,4.9347,24074.5,0.882
504,4.935,23712.0,0.8838
505,4.934,25117.0,0.8609
506,4.9338,24879.0,0.872
507,4.7104,22947.0,0.8897
508,4.7099,18645.0,0.9584
509,4.7085,18604.0,0.9621
510,4.7054,18649.0,0.9632
511,4.7059,22737.0,0.8603
512,4.7049,22678.0,0.8485
513,4.7048,22482.0,0.8622
514,4.7034,22122.0,0.8615
515,4.9606,21862.5,0.9387
516,4.9599,21693.5,0.9336
517,4.9559,26941.5,0.8601
518,4.9582,26060.5,0.9016
519,4.9565,25378.5,0.8709
520,4.9573,24303.5,0.8483
521,4.9565,26245.0,0.8982
522,5.2013,19673.0,0.9753
523,5.1978,19462.5,0.9784
524,5.1973,19560.0,0.9798
525,5.1964,19561.0,0.9749
526,5.1955,25082.5,0.8765
527,5.1922,25110.5,0.8883
528,5.1942,24543.5,0.8948
529,5.1954,24524.5,0.8891
530,5.195,24805.0,0.9152
531,5.194,24100.5,0.8888
532,5.1947,23799.5,0.9023
533,5.1953,24260.5,0.8871
534,4.3326,17839.5,0.9757
535,4.3358,17774.0,0.9764
536,4.3356,17732.5,0.9681
537,4.3349,21071.5,0.9019
538,4.3333,22280.5,0.9031
539,4.3328,20938.5,0.9074
540,6.0109,22700.5,0.9559
541,6.0102,22524.5,0.9476
542,6.0117,22682.0,0.941
543,6.0104,22604.0,0.9447
544,6.0112,29096.5,0.8528
545,6.0115,29007.0,0.8584
546,6.011,29175.0,0.8585
547,6.0108,28709.5,0.8529
548,6.0111,28109.5,0.8385
549,6.0108,28605.0,0.8532
550,6.0096,28527.0,0.8585
551,6.0098,25217.5,0.8937
552,4.5636,18609.0,0.9583
553,4.5625,18261.0,0.9586
554,4.5626,18889.5,0.9595
555,4.5623,18696.0,0.9685
556,4.5608,18912.0,0.9631
557,4.5595,22685.5,0.9051
558,4.5583,22697.5,0.8806
559,4.5537,21689.5,0.8776
560,4.5539,22070.0,0.9066
561,4.5535,22608.5,0.914
562,4.2228,18576.5,0.9567
563,4.2227,18890.0,0.9603
564,4.2215,18672.0,0.9639
565,4.2209,21142.5,0.874
566,4.2206,22249.0,0.8873
567,4.2202,22329.0,0.9176
568,4.2199,21420.5,0.8444
569,4.5246,18483.0,0.9555
570,4.5234,19148.0,0.9485
571,4.5242,20403.5,0.9534
572,4.5241,22875.5,0.9377
573,4.5242,22867.5,0.8769
574,4.5229,23032.5,0.8899
575,4.5214,23810.5,0.909
576,4.5221,21914.0,0.8907
577,3.5087,15210.0,0.9645
578,3.5081,15138.0,0.9721
579,3.5059,14742.5,0.9747
580,3.5017,18288.0,0.9338
581,3.5051,18111.5,0.93
582,3.5048,17684.0,0.875
583,3.5039,18222.5,0.9159
584,3.5046,18187.5,0.9285
585,3.5038,17828.5,0.8849
586,3.5036,17923.5,0.9141
587,3.5032,17953.5,0.9348
588,3.5023,17569.5,0.9221
589,3.5018,17565.5,0.9162
590,4.9498,20392.0,0.9801
591,4.9519,20010.5,0.9785
592,4.9504,19876.5,0.9831
593,4.9499,19816.5,0.9837
594,4.9494,24231.0,0.9108
595,4.9478,24047.5,0.897
596,4.9486,24323.0,0.9042
597,4.9488,23847.0,0.9166
598,4.9488,24093.5,0.9053
599,4.9482,23421.5,0.8995
600,4.9478,23375.0,0.9077
601,3.5437,15373.5,0.9574
602,3.5452,15291.0,0.9714
603,3.543,19101.5,0.9048
604,3.5439,18820.5,0.8821
605,3.542,18986.5,0.8958
606,3.5434,18902.0,0.9072
607,3.5431,18827.0,0.9133
608,3.5403,18424.0,0.898
609,3.5422,18119.5,0.8626
610,3.5417,19119.0,0.8613
611,5.0581,19748.5,0.9496
612,5.0584,20288.5,0.9548
613,5.0575,20255.0,0.9695
614,5.0572,20461.0,0.9642
615,5.057,20146.0,0.9666
616,5.0569,22499.0,0.9002
617,5.0553,24290.5,0.8892
618,5.0553,24070.0,0.8982
619,5.0544,24164.0,0.9215
620,5.0522,24229.5,0.9112
621,5.0524,23777.0,0.9077
622,5.0524,23653.0,0.9107
623,5.0514,23463.5,0.9061
624,5.0511,23457.5,0.8881
625,5.0511,23410.5,0.8922
626,5.0517,23453.5,0.9015
627,5.051,23557.0,0.9049
628,5.0498,23168.5,0.8853
629,3.4782,16380.5,0.9612
630,3.4761,16268.0,0.9682
631,3.4779,16416.0,0.9609
632,3.4773,18340.0,0.8904
633,3.4783,17825.0,0.9389
634,3.4778,18552.0,0.8942
635,3.4775,18904.0,0.8322
636,3.4772,18775.5,0.8283
637,3.4762,18356.0,0.8757
638,3.4757,18283.5,0.8757
639,3.4764,19012.0,0.8931
640,3.4759,18830.5,0.9051
641,3.4755,18457.5,0.839
642,3.4753,18321.5,0.8431
643,3.4746,18175.5,0.8821
644,3.475,18252.0,0.8888
645,3.4745,17847.0,0.8895
646,4.0505,18120.5,0.963
647,4.0521,17836.5,0.9482
648,4.0509,17990.0,0.9544
649,4.0518,21276.0,0.8963
650,4.0516,20867.0,0.8839
651,4.0513,20474.5,0.8997
652,4.0499,21136.5,0.9024
653,4.0505,20731.0,0.8956
654,4.0506,20922.5,0.8788
655,2.6977,13427.0,0.9729
656,2.6972,13131.5,0.9782
657,2.6974,15345.0,0.9103
658,2.6972,15105.0,0.9058
659,2.6961,15122.0,0.921
660,2.697,14947.0,0.9309
661,2.6968,15039.5,0.9148
662,2.697,15368.5,0.9158
663,2.6962,15025.5,0.9277
664,2.6931,14682.5,0.9519
665,6.1317,22966.0,0.9455
666,6.1325,23041.5,0.9382
667,6.1313,23767.0,0.9569
668,6.1306,22716.5,0.9423
669,6.1282,22713.5,0.937
670,6.1291,23306.5,0.9592
671,6.1286,29258.0,0.8302
672,6.1284,28615.5,0.8375
673,6.1285,28966.0,0.8323
674,6.1281,28307.0,0.8743
675,6.1253,27952.5,0.8847
676,6.1248,30728.5,0.8713
677,5.2807,20527.5,0.9587
678,5.2788,20541.5,0.9622
679,5.2788,21386.5,0.9594
680,5.2771,20939.5,0.9631
681,5.2746,24664.5,0.889
682,5.2698,24301.0,0.872
683,5.2685,22707.0,0.8566
684,4.639,18622.5,0.937
685,4.6407,18380.0,0.9466
686,4.6409,18605.0,0.9471
687,4.6359,18561.0,0.9407
688,4.6367,18821.5,0.9567
689,4.6358,18781.5,0.9465
690,4.6346,22674.5,0.8556
691,4.6337,22237.5,0.8691
692,4.6342,22157.0,0.8777
693,4.6342,22168.0,0.8618
694,4.6352,18534.5,0.952
695,4.6344,23577.5,0.8731
696,4.6328,23434.5,0.8682
697,4.6317,23054.0,0.8794
698,4.6278,23194.5,0.8784
699,4.962,19664.0,0.9738
700,4.9651,19578.0,0.9714
701,4.9661,19976.5,0.9735
702,4.9634,24298.5,0.8872
703,4.9666,23861.5,0.8862
704,4.9637,23980.0,0.8812
705,4.9621,23936.0,0.8881
706,4.9628,23688.0,0.8922
707,3.0221,17622.0,0.938
708,3.0208,17575.0,0.9225
709,3.0234,17855.0,0.9369
710,3.0211,18486.5,0.8959
711,4.5372,18937.0,0.9645
712,4.5397,18675.0,0.9542
713,4.5397,18754.0,0.9575
714,4.5417,18859.0,0.9627
715,4.5405,22306.5,0.9017
716,4.5394,22997.0,0.8807
717,4.5401,22780.5,0.8783
718,4.5416,22357.0,0.8861
719,4.5406,22263.5,0.8808
720,4.5337,22951.0,0.893
721,4.1058,17029.0,0.9804
722,4.1095,17545.5,0.9732
723,4.1097,18193.0,0.974
724,4.1067,17634.0,0.9643
725,4.1061,21155.5,0.851
726,4.1086,20828.5,0.8394
727,4.1072,22121.5,0.8758
728,4.1083,22227.5,0.8894
729,4.1066,21898.5,0.8814
730,5.8161,22658.5,0.9524
731,5.8114,22595.0,0.9624
732,5.8163,22725.5,0.9648
733,5.8165,27060.5,0.9313
734,5.8151,26623.0,0.919
735,5.8188,26783.5,0.9275
736,5.8178,26958.5,0.9402
737,5.8181,26861.5,0.9291
738,5.817,26409.5,0.9297
739,5.3817,21612.5,0.9538
740,5.3816,21437.5,0.9727
741,5.3828,21659.5,0.9636
742,5.3823,21942.5,0.966
743,5.3851,25879.5,0.8482
744,5.3829,25740.5,0.8879
745,5.3807,25017.0,0.891
746,5.3795,24919.5,0.9059
747,5.3801,25085.5,0.9055
748,4.4286,18924.5,0.9763
749,4.4275,18807.5,0.9774
750,4.4269,18717.5,0.9848
751,4.4258,18734.5,0.9795
752,4.4263,20367.0,0.9395
753,4.4261,22637.0,0.8406
754,4.4252,22283.0,0.9071
755,4.4269,22134.5,0.8277
756,4.4268,21682.5,0.8371
757,3.6093,14560.5,0.9731
758,3.6138,14398.5,0.9626
759,3.6105,14598.5,0.9669
760,3.611,18019.0,0.9113
761,3.6109,17526.0,0.9151
762,3.6134,17727.0,0.9133
763,3.6125,19621.0,0.8804
764,3.6142,19425.0,0.8576
765,3.6724,16083.0,0.9668
766,3.6706,16145.0,0.9674
767,3.67,16061.5,0.9704
768,3.6713,18988.5,0.8853
769,3.6704,18855.0,0.9006
770,3.6719,19392.5,0.8935
771,3.6668,19105.5,0.9013
772,3.6711,19178.5,0.9098
773,3.6694,18977.5,0.8944
774,3.6706,18298.0,0.8997
