ID,AverageMass,AreaInSquaredPixels,Roundness
508,4.7099,17935.5,0.9516
509,4.7085,17589.5,0.9551
510,4.7054,17892.5,0.951
511,4.7059,21780.0,0.8907
512,4.7049,21879.0,0.8614
513,4.7048,21643.5,0.8974
514,4.7034,21469.5,0.8996
515,4.9606,21107.5,0.945
516,4.9599,20806.5,0.9316
517,4.9559,26741.5,0.8983
518,4.9582,25228.5,0.9199
519,4.9565,24020.5,0.8716
520,4.9573,22688.0,0.8627
521,4.9565,25096.0,0.9035
522,5.2013,18509.5,0.9541
523,5.1978,19009.0,0.9628
524,5.1973,18457.0,0.9477
525,5.1964,18856.5,0.957
526,5.1955,24255.0,0.8861
527,5.1922,24078.0,0.8926
528,5.1942,23770.5,0.8995
529,5.1954,23672.5,0.915
530,5.195,23699.5,0.9194
531,5.194,22424.5,0.8776
532,5.1947,23155.0,0.9095
533,5.1953,23731.0,0.899
534,4.3326,17023.5,0.9562
535,4.3358,17328.5,0.9697
536,4.3356,16597.5,0.943
537,4.3349,19321.0,0.8733
538,4.3333,20858.0,0.9135
539,4.3328,20222.0,0.9132
540,6.0109,21859.0,0.9503
541,6.0102,21563.5,0.9381
542,6.0117,21794.5,0.9491
543,6.0104,21599.5,0.9389
544,6.0112,26991.0,0.8538
545,6.0115,27697.0,0.847
546,6.011,27382.0,0.8458
547,6.0108,27508.5,0.8758
548,6.0111,27085.5,0.8692
549,6.0108,27194.0,0.858
550,6.0096,27209.5,0.8572
551,6.0098,24753.5,0.9172
552,4.5636,18094.0,0.9607
553,4.5625,17703.0,0.9574
554,4.5626,18189.5,0.9593
555,4.5623,18128.5,0.956
556,4.5608,17949.0,0.9474
557,4.5595,21547.0,0.9134
558,4.5583,21570.5,0.9084
559,4.5537,21548.0,0.9111
560,4.5539,21199.5,0.9253
561,4.5535,21541.5,0.9226
562,4.2228,17750.0,0.96
563,4.2227,18252.0,0.9612
564,4.2215,17796.0,0.9551
565,4.2209,20442.5,0.8771
566,4.2206,20612.5,0.8897
567,4.2202,20865.0,0.9091
568,4.2199,20337.0,0.8751
569,4.5246,17770.5,0.9515
570,4.5234,18418.0,0.9411
571,4.5242,19397.0,0.9426
572,4.5241,22364.0,0.9482
573,4.5242,22507.0,0.883
574,4.5229,21779.0,0.876
575,4.5214,23536.0,0.9092
576,4.5221,20797.5,0.8959
577,3.5087,14715.5,0.9644
578,3.5081,14501.5,0.9538
579,3.5059,14115.5,0.9565
580,3.5017,17891.5,0.9184
581,3.5051,17358.5,0.931
582,3.5048,16443.0,0.877
583,3.5039,17124.0,0.8979
584,3.5046,17736.5,0.9268
585,3.5038,17278.0,0.9049
